ID,Latitude,Longitude,Easting,Northing
CB001,38.98123,-106.99833000000001,326907.9928599017,4316592.924857312
CB047,38.98003,-106.99963000000001,326792.45430234325,4316462.2154920865
CB061,38.98498,-107.00957,325943.50585875975,4317030.550598428
CB063,38.98808,-107.00797,326089.68891806714,4317371.546445833
CB068,38.9609,-106.99268000000001,327348.0547038369,4314325.878566971
CB073,38.95057,-106.98807,327722.4923019403,4313170.681006652
CB074,38.94345,-106.98163000000001,328263.41529164946,4312368.31469519
CB075,38.94842,-106.97733000000001,328648.07370522583,4312911.80907657
CB077,38.95247,-106.97548,328818.1513597955,4313357.816659917
CB078,38.95255,-106.97296999999999,329035.8616251219,4313361.981612499
CB081,38.95532,-106.97228,329102.31311537453,4313668.112845209
CB082,38.955529999999996,-106.97587,328791.71975346684,4313698.16117068
CB083,38.9548,-106.97873,328542.121315915,4313622.522257784
CB085,38.95718,-106.98833,327715.9718724114,4313904.779240408
CB086,38.95548,-106.98846999999999,327699.72161549155,4313716.370604353
CB087,38.951679999999996,-106.98923,327624.6530950903,4313296.067970243
CB088,38.951,-106.98965,327586.6069642345,4313221.393473594
CB090,38.95073,-106.99233000000001,327353.69607212895,4313196.503464289
CB092,38.95417,-106.99353,327258.05517505616,4313580.5647162385
CB093,38.95543,-106.99313000000001,327295.7782912116,4313719.646606643
CB100,38.97083,-106.99016999999999,327589.6301816303,4315423.200152969
CB102,38.97617,-106.9895,327660.62653020676,4316014.589993699
CB103,38.9795,-106.99,327625.3881495573,4316385.115829825
CB151,38.98917,-107.0123,325717.309416271,4317500.802398733
CB154,38.99423,-107.01468,325523.59292356565,4318066.9481588015
CB156,38.99665,-107.01495,325506.15431424323,4318336.050528011
CB158,38.996179999999995,-107.01867,325182.81886437186,4318291.026721688
CB159,38.9975,-107.01883000000001,325172.21131075337,4318437.834942013
CB160,38.99795,-107.02082,325000.9741090442,4318491.603355654
CB162,39.000370000000004,-107.0231,324809.4840356034,4318764.575473212
CB163,39.00143,-107.02383,324748.8803947101,4318883.625920863
CB164,39.0021,-107.023,324822.4125645115,4318956.388094929
CB165,39.00318,-107.02682,324494.26815443597,4319083.613727229
CB167,39.00448,-107.02795,324399.62639315636,4319230.075365598
CB168,39.00415,-107.0292,324290.5625535819,4319195.863194749
CB169,39.00543,-107.02993000000001,324230.5150363569,4319339.334959761
CB170,39.00548,-107.03448,323836.6247231593,4319353.683856586
CB177,38.997370000000004,-107.02218,324881.76023194706,4318429.8479266
CB182,39.00495,-107.01783,325277.15105295816,4319262.75668684
CB189,38.99412,-107.02988,324206.8466592686,4318083.990050666
CB283,38.95143,-106.99107,327464.58918643533,4313271.805284128
CB322,38.95917,-106.98428,328071.7355374043,4314117.985358092
CB323,38.95915,-106.98408,328089.0176854024,4314115.38815608
CB324,38.95963,-106.9828,328201.09253642464,4314166.245455988
CB326,38.96025,-106.98088,328368.96062791767,4314231.43587158
CB327,38.96058,-106.98048,328404.41742109787,4314267.307001894
CB328,38.96082,-106.98028000000001,328422.3266680279,4314293.56644927
CB329,38.96113,-106.98002,328445.60369257536,4314327.481818534
CB333,38.96202,-106.98116999999999,328348.1046358007,4314428.424722369
CB335,38.961220000000004,-106.98201999999999,328272.52092466527,4314341.239595152
CB336,38.96143,-106.98257,328225.37075060606,4314365.583509899
CB337,38.96177,-106.98518,328000.0374034508,4314408.244106144
CB338,38.96278,-106.98496999999999,328020.67667665874,4314519.941808812
CB339,38.96375,-106.98555,327972.76768311457,4314628.692153787
CB340,38.96353,-106.98818,327744.3532576338,4314609.246775732
CB341,38.96342,-106.98841999999999,327723.2913961159,4314597.492454278
CB342,38.9631,-106.9879,327767.57286389335,4314560.993876104
CB345,38.96367,-106.991,327500.34773201414,4314630.122271189
CB347,38.9627,-106.99005,327580.3102247104,4314520.668288651
CB350,38.96152,-106.98945,327629.43863439444,4314388.570826608
CB351,38.96165,-106.98877,327688.67544647923,4314401.712043789
CB352,38.96198,-106.98827,327732.7997023354,4314437.391049705
CB353,38.96192,-106.98756999999999,327793.30876059225,4314429.408159483
CB355,38.95978,-106.99101999999999,327489.17734591104,4314198.430402278
CB357,38.96123,-106.99393,327240.543371058,4314364.87382547
CB358,38.9609,-106.9926,327354.9867415511,4314325.726914626
CB359,38.95925,-106.99083,327504.35555451555,4314139.2487710165
CB361,38.96138,-106.9919,327416.80708653294,4314377.672783659
CB362,38.96203,-106.99265,327353.3979177434,4314451.234216468
CB363,38.96373,-106.99308,327320.2675152024,4314640.723200033
CB364,38.964220000000005,-106.99305,327324.0569758308,4314695.048760576
CB367,38.96697,-106.99535,327131.45696901286,4315004.62004711
CB369,38.96832,-106.9945,327208.3849558664,4315152.836109844
CB370,38.969570000000004,-106.99577,327101.3906350031,4315293.977618447
CB371,38.97047,-106.99668,327024.7383734322,4315395.592141595
CB373,38.9725,-106.9972,326984.62746415206,4315621.87915225
CB374,38.97252,-106.99668,327029.72704645235,4315623.110892097
CB375,38.96982,-106.99548,327127.12419907004,4315321.173195766
CB376,38.96022,-106.9831,328176.52259302523,4314232.292156406
CB377,38.9605,-106.98418000000001,328083.61624150886,4314265.405825709
CB381,38.96577,-106.9889,327687.39622870006,4314859.214211783
CB382,38.96627,-106.9906,327541.3134771643,4314917.924551886
CB383,38.96732,-106.99087,327520.4670950305,4315034.969733988
CB385,38.97397,-106.9924,327404.0516177568,4315775.916890547
CB388,38.980579999999996,-106.9942,327264.17690238776,4316512.940181068
CB391,38.9867,-107.00161999999999,326636.341969386,4317206.273640706
CB392,38.988170000000004,-107.00288,326530.7915112241,4317371.822274758
