Ind1,HapIndex1,Ind2,HapIndex2,Scaffold,IBDStart,IBDEnd,Lod,IBDlen
CB001,1,CB047,1,2,68.842,70.416,3.07,1.574
CB001,1,CB047,1,5,74.357,75.36,4.05,1.003
CB001,1,CB047,1,6,3.472,6.134,5.78,2.662
CB001,1,CB047,2,7,70.674,73.904,3.64,3.23
CB001,2,CB061,1,1,7.916,22.253,3.9,14.337
CB001,2,CB061,1,2,1.685,3.232,3.32,1.547
CB001,1,CB061,2,2,94.504,121.518,14.79,27.014
CB001,2,CB061,1,3,32.812,36.442,19.94,3.63
CB001,2,CB061,1,3,73.992,75.684,6.55,1.692
CB001,1,CB061,2,4,34.912,47.188,11.47,12.276
CB001,1,CB061,2,4,106.36,106.902,3.53,0.542
CB001,2,CB061,1,4,114.234,115.77,5.7,1.536
CB001,1,CB061,2,5,77.161,159.729,7.79,82.568
CB001,1,CB061,2,5,180.102,210.819,6.23,30.717
CB001,1,CB063,2,2,17.581,18.997,3.91,1.416
CB001,1,CB063,1,3,30.799,31.339,3.19,0.54
CB001,1,CB063,1,3,184.198,185.174,3.41,0.976
CB001,1,CB063,2,6,76.881,78.569,3.16,1.688
CB001,2,CB068,2,2,1.119,1.201,3.35,0.082
CB001,2,CB068,2,4,41.763,43.709,3.38,1.946
CB001,2,CB068,2,4,96.991,97.451,3.84,0.46
CB001,2,CB073,1,1,12.724,13.075,3.39,0.351
CB001,2,CB074,2,1,7.659,27.665,6.26,20.006
CB001,1,CB074,1,2,42.876,44.304,5.23,1.428
CB001,2,CB074,1,2,57.631,111.922,5.45,54.291
CB001,2,CB074,2,3,22.071,25.596,4.0,3.525
CB001,2,CB074,1,4,9.822,10.945,3.11,1.123
CB001,2,CB074,2,4,110.795,114.2,7.1,3.405
CB001,2,CB074,2,5,70.8,72.035,4.33,1.235
CB001,2,CB074,2,5,75.942,76.892,6.02,0.95
CB001,1,CB074,1,6,13.401,14.783,3.13,1.382
CB001,1,CB074,1,7,34.512,44.148,9.92,9.636
CB001,2,CB075,2,3,102.458,103.306,4.29,0.848
CB001,1,CB075,1,5,156.35,185.48,4.48,29.13
CB001,2,CB077,2,5,0.578,21.109,3.17,20.531
CB001,1,CB078,1,3,102.458,105.039,4.59,2.581
CB001,1,CB078,1,5,67.218,67.664,5.65,0.446
CB001,1,CB078,1,5,88.101,91.384,7.95,3.283
CB001,1,CB081,2,1,7.797,7.847,3.42,0.05
CB001,2,CB081,2,5,67.32,67.45,3.9,0.13
CB001,1,CB081,1,5,157.45,159.306,3.77,1.856
CB001,2,CB082,2,5,67.318,72.84,3.4,5.522
CB001,2,CB082,2,6,1.73,2.225,3.21,0.495
CB001,2,CB083,1,1,7.696,7.746,6.65,0.05
CB001,1,CB083,2,1,45.574,45.874,3.34,0.3
CB001,2,CB083,1,2,42.028,42.251,3.24,0.223
CB001,2,CB083,1,4,0.962,1.349,3.29,0.387
CB001,1,CB083,1,5,146.532,149.082,6.69,2.55
CB001,1,CB083,1,7,46.744,57.213,3.03,10.469
CB001,1,CB085,2,1,5.796,6.351,6.13,0.555
CB001,1,CB085,2,1,39.929,40.094,3.2,0.165
CB001,1,CB085,2,7,18.758,19.466,3.45,0.708
CB001,1,CB086,1,3,9.257,12.416,5.64,3.159
CB001,1,CB086,1,4,111.975,113.944,6.64,1.969
CB001,2,CB086,1,5,67.32,67.441,3.08,0.121
