countrynm,latitude,longitude,
Albania,41.1943851817,19.9113783528,
Andorra,42.513021048,1.5595993976,
Austria,47.7651936983,14.6341238776,
Belarus,53.5343809103,27.8110098645,
Belgium,50.8445598589,4.4371970672,
Bosnia,44.1626570851,17.7611700893,
Bulgaria,42.7517067081,25.087405963,
Croatia,45.3176419187,16.2629448798,
Cyprus,34.9667867221,33.2571688123,
Czech Republic,49.8217881174,15.6132376994,
Denmark,55.853126915,10.8648519184,
Estonia,58.9516473917,25.56437765,
Faeroe Islands,62.0946577856,-6.8992594118,
Finland,61.7281440207,25.0504257965,
France,47.1233693186,2.6805478522,
Germany,50.8465812362,9.6860092676,
Gibraltar,36.1360244751,-5.3476929665,
Greece,38.6708174106,23.3515765492,
Guernsey,49.4848861694,-2.516469717,
Holy See,41.8312492371,12.5414161682,
Hungary,47.288791635,19.3925191627,
Iceland,64.340333059,-20.9603677103,
Ireland,53.1154256193,-7.4069761944,
Isle of Man,54.185815083,-4.529757926,
Italy,42.8788917707,12.1292252293,
Jersey,49.2196159363,-2.1376717091,
Latvia,56.831629532,24.5087579904,
Liechtenstein,47.1526508985,9.5490759866,
Lithuania,55.2269460214,23.888296822,
Luxembourg,49.6442684619,6.0836201926,
Macedonia,41.7478999347,21.5483378431,
Malta,35.8989435922,14.4576668032,
Monaco,43.7402076721,7.4421668053,
Netherlands,52.0697699095,5.2856484461,
Norway,61.0898625,9.9201984517,
Poland,51.7137060773,19.3093069889,
Portugal,39.7548977782,-9.1584962508,
Republic of Moldova,47.1693304635,28.601872958,
Romania,45.6970645998,25.2946286339,
Russia,53.7273452029,54.0478985832,
San Marino,43.9383087158,12.4632053375,
Serbia,43.6956703467,20.7473442987,
Slovakia,48.6657473591,19.1641240103,
Slovenia,46.1671658048,14.8861653399,
Spain,39.6745784156,-3.2843582299,
Svalbard,78.5973739624,15.9054641724,
Sweden,58.8884444379,15.5355721297,
Switzerland,47.0225832688,7.9530278276,
Ukraine,48.8079972921,31.732572912,
United Kingdom,52.7355677082,-1.6789861409,
Swiss French,46.519653,6.632273,Lausanne
Swiss German,47.376887,8.541694,ZÅrich
England,51.507351,-0.127758,London
Scotland,55.953252,-3.188267,Edinburgh
Montenegro,42.44111,19.26361,Podgorica
